title,make,model,year,condition,transmission,price
Audi Q5 2.0T Premium AWD quattro 2013 Blue,Audi,Q5 2,2013,local used,automatic,"₦ 8,700,000"
Mercedes-Benz AMG GT GT 53 4MATIC+ (4 dr) 2020 White,Mercedes-Benz,AMG GT,2020,local used,automatic,"₦ 85,000,000"
BYD Leopard 5 2023,BYD,Leopard 5,2023,foreign used,,"₦ 29,999,999"
GMC Sierra 3500HD 2024 Black,GMC,Sierra 3500HD,2024,foreign used,automatic,"₦ 70,000,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2015 Silver,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 28,000,000"
Honda Crosstour 3.5 AWD 2010 White,Honda,Crosstour 3,2010,local used,automatic,"₦ 5,500,000"
Lexus RX 2013 White,Lexus,RX,2013,local used,automatic,"₦ 15,100,000"
Hyundai Sonata 2015 Blue,Hyundai,Sonata,2015,local used,automatic,"₦ 14,000,000"
Toyota Camry 2020 Black,Toyota,Camry,2020,foreign used,automatic,"₦ 36,500,000"
Honda Ridgeline RT 4x4 Crew Cab 122 in. WB 2007 Black,Honda,Ridgeline RT,2007,local used,automatic,"₦ 5,000,000"
Land Rover Range Rover Sport 2014 Gray,Land,Rover Range,2014,foreign used,automatic,"₦ 34,500,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 46,400,000"
Lexus GX 470 2009 Black,Lexus,GX 470,2009,local used,automatic,"₦ 11,850,000"
Toyota RAV4 Limited 2021 Gray,Toyota,RAV4 Limited,2021,foreign used,automatic,"₦ 47,000,000"
Toyota Yaris 1.5 Sedan XLE 2020 White,Toyota,Yaris 1,2020,foreign used,automatic,"₦ 19,500,000"
Toyota Sequoia Limited 4dr SUV 4WD (4.7L 8cyl 4A) 2002 Gray,Toyota,Sequoia Limited,2002,local used,automatic,"₦ 6,000,000"
Lexus ES 2004 Silver,Lexus,ES,2004,local used,automatic,"₦ 5,000,000"
Lexus LX 570 AWD 2018 Black,Lexus,LX 570,2018,foreign used,automatic,"₦ 118,000,000"
Toyota Sienna LE 8 Passenger 2011 Gold,Toyota,Sienna LE,2011,foreign used,automatic,"₦ 14,000,000"
Toyota Venza 2022 Black,Toyota,Venza,2022,foreign used,automatic,"₦ 44,500,000"
Mercedes-Benz C300 2011 White,Mercedes-Benz,C300,2011,local used,automatic,"₦ 6,500,000"
Mazda 3 2016 Gray,Mazda,3,2016,local used,automatic,"₦ 8,799,000"
Mazda CX-7 2007 White,Mazda,CX-7,2007,local used,automatic,"₦ 3,600,000"
Lexus RX 2011 Silver,Lexus,RX,2011,foreign used,automatic,"₦ 19,500,000"
